index,n_atoms,charge,E_before_hartree,max_force_evA,failure_reason,converged,steps,E_after_hartree,delta_E_kcalmol,delta_E_kcal_per_atom,rmsd_A,n_total,n_ok,n_dE,failure_rate,delta_E_kcal_median,delta_E_kcal_mean,delta_E_kcal_p90,delta_E_per_atom_median,delta_E_per_atom_mean,delta_E_per_atom_p90,max_force_evA_median,rmsd_A_median,steps_median,convergence_rate
65,73,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
66,84,0,-147.416757484041,7.213747944441529,,False,,-148.280081915301,541.7442598057856,6.449336426259353,3.0157755281133527,,,,,,,,,,,,,,
67,92,0,-95.094222696811,50.21250884358233,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
68,17,0,-23.855380837911,1.9124841638559302,,True,,-23.871657890459,10.214004683694206,0.6008238049231887,0.38883154980935175,,,,,,,,,,,,,,
69,111,0,-108.855509142701,174.58900962987067,,False,,-122.459227289507,8536.462019604884,76.90506323968364,1.0661648554617973,,,,,,,,,,,,,,
70,127,0,-124.194887101173,69.22286415764073,,False,,-131.247974467665,4425.879143868486,34.84944207770461,1.246109660363299,,,,,,,,,,,,,,
71,15,0,-25.418932011613,3.4196168746000812,,True,,-25.469252956954,31.576869945290767,2.1051246630193843,0.8622553885179658,,,,,,,,,,,,,,
72,62,0,-72.052120195629,9.32407127548895,,False,,-72.396897884326,216.3512661029415,3.489536550047444,2.5473839714332187,,,,,,,,,,,,,,
73,107,0,-158.380264466707,30.23166071803791,,False,,-163.160953473801,2999.927644500798,28.036706957951385,1.4147851286135513,,,,,,,,,,,,,,
74,13,0,-16.664961311037,1.658851129730979,,True,,-16.685305890354,12.76641626724643,0.9820320205574178,0.34066807020509765,,,,,,,,,,,,,,
75,36,0,-44.965749419715,5.880321824076268,,True,,-45.161169245974,122.62779239728643,3.4063275665912895,1.7787389139746557,,,,,,,,,,,,,,
76,69,0,-103.830698994977,34.55182491948298,,False,,-104.831253856158,627.8576547109682,9.09938630015896,2.396772211937106,,,,,,,,,,,,,,
77,42,0,-58.95437488489,15.768189329816154,,True,,-59.601736740463,406.225697519123,9.672040417121977,1.68541196490171,,,,,,,,,,,,,,
78,60,0,-99.388431445866,29.14254486180597,,False,,-100.676871342241,808.5082417361888,13.475137362269813,2.866677970402369,,,,,,,,,,,,,,
79,78,0,-87.301279636833,147.34504845501786,,False,,-91.980187624183,2936.0590903316374,37.641783209379966,1.8469395169695502,,,,,,,,,,,,,,
80,169,0,-127.43153730967,59.98772276602246,,False,,-141.741347688549,8979.541584793056,53.133382158538794,1.0695013485913152,,,,,,,,,,,,,,
81,26,0,-28.910191737974,5.170445269195881,,True,,-28.999904243969,56.295447453804684,2.1652095174540262,0.6506234346806229,,,,,,,,,,,,,,
82,61,0,-76.927501577393,3.7726893306179687,,False,,-77.804880267438,550.5634403443046,9.025630169578763,2.180096126498338,,,,,,,,,,,,,,
83,126,0,-104.238749732969,190.49219378977742,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
84,66,0,-77.144159871867,7.169447618756725,,False,,-77.729538652542,367.3307307890684,5.565617133167703,2.5769319643610884,,,,,,,,,,,,,,
85,11,0,-22.198452185491,17.828978374837494,,True,,-22.273214797379,46.91424726542341,4.264931569583947,0.624872199675594,,,,,,,,,,,,,,
86,11,0,-17.095460644183,10.720026164345963,,True,,-17.164747816593,43.47835711831853,3.9525779198471387,0.3646770919593259,,,,,,,,,,,,,,
87,15,0,-24.836448626114,2.3354085720949462,,True,,-24.868469119605,20.093163029778466,1.339544201985231,0.6464427700947426,,,,,,,,,,,,,,
88,58,0,-91.169118625237,11.739239186270842,,False,,-92.1305473824,603.3056537564887,10.401821616491185,2.616600161223749,,,,,,,,,,,,,,
89,57,0,-59.349456943372,12.791557561712183,,False,,-59.624962700805,172.88247294813937,3.0330258411954274,2.064723966408284,,,,,,,,,,,,,,
90,9,0,-17.517227543311,20.279903848708642,,True,,-17.622352481512,65.96689468142401,7.329654964602668,1.177003038793245,,,,,,,,,,,,,,
91,16,0,-22.965886241589,2.994067143672019,,True,,-23.020934496271,34.54330134359294,2.1589563339745586,1.3209310068528581,,,,,,,,,,,,,,
92,103,0,-114.181679579038,330.34384862592475,,False,,-127.466376644777,8336.273268809486,80.93469193018917,1.321508985856601,,,,,,,,,,,,,,
93,86,0,-107.730651795775,375.0267549385967,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
94,106,0,-142.256760955153,373.04349924585165,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
95,170,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
96,117,0,-118.952414861054,54.931209149350664,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
97,74,0,-85.258198634459,27.46358845321918,,True,,-86.153446942332,561.7767948292601,7.5915783085035144,1.8163320155518288,,,,,,,,,,,,,,
98,4,0,-14.490554821532,4.613314158258972,,True,,-14.589333280829,61.98441904222479,15.496104760556198,0.6302012039443216,,,,,,,,,,,,,,
99,54,0,,,single_point_failed,,,,,,,,,,,,,,,,,,,,
100,54,0,-82.25571730843,4.57973223071063,,False,,-82.673997368452,262.4747004754955,4.860642601398065,2.637447075285505,,,,,,,,,,,,,,
101,116,0,-181.806175616481,41.60019244332255,no_energy_in_xtb_output,False,,,,,,,,,,,,,,,,,,,
102,72,0,-79.061434034299,4.461432436846535,,False,,-79.50609171656,279.02690833371435,3.8753737268571435,2.8471025723719476,,,,,,,,,,,,,,
103,15,0,-19.195123069288,4.516130519430026,,True,,-19.240432240294,28.431934068207934,1.8954622712138622,0.7484722387047599,,,,,,,,,,,,,,
104,4,0,-15.389640357588,2.7162646202138445,,True,,-15.400455375743,6.786526354427047,1.6966315886067618,0.04986436533540974,,,,,,,,,,,,,,
105,6,0,-20.35307145408,5.019304747506481,,True,,-20.428566718733,47.373993816658604,7.895665636109768,1.0546185964015127,,,,,,,,,,,,,,
106,79,0,-90.551949990165,7.600405653871229,,False,,-91.428898327345,550.2933898443297,6.96573911195354,2.3127676373812753,,,,,,,,,,,,,,
107,46,0,-53.260277186453,4.723303865262117,,True,,-53.656276488747,248.49331391185876,5.402028563301277,1.775416372660989,,,,,,,,,,,,,,
108,12,0,-18.829817418717,11.308303245007584,,False,,-18.901450961204,44.95072657129385,3.745893880941154,1.6552051650847581,,,,,,,,,,,,,,
109,34,0,-50.215859999559,3.4291038140059835,,True,,-50.301997050349,54.05181543857979,1.5897592776052878,0.5510454017422963,,,,,,,,,,,,,,
110,74,0,-94.786419215676,8.4150090165418,,False,,-95.348148445584,352.490413625437,4.76338396791131,2.6526897231190576,,,,,,,,,,,,,,
111,113,0,-88.273835655595,89.7383479839761,,False,,-100.268795291274,7526.950812393049,66.61018418046946,1.1656075764383786,,,,,,,,,,,,,,
112,77,0,-96.022264481762,22.812452823834125,,False,,-97.091601762554,671.0192746658614,8.714536034621577,2.435776928510861,,,,,,,,,,,,,,
113,37,0,-87.190499127642,12.6387717441799,,False,,-87.67415198885,303.49675256574574,8.202614934209345,2.305990478150811,,,,,,,,,,,,,,
114,17,0,-23.888785254706,2.2455119832089463,,True,,-23.921385201661,20.45677556821646,1.2033397393068506,0.6540683990879163,,,,,,,,,,,,,,
115,55,0,-88.017112623065,8.537502527507423,,False,,-88.843166127224,518.3563999427897,9.424661817141631,2.152502180639256,,,,,,,,,,,,,,
